title,text,subject,date
True News 1,India launches new digital education initiative,True,2026-01-01
True News 2,Scientists discover new renewable energy method,True,2026-01-01
True News 3,Government announces new healthcare scheme,True,2026-01-01
True News 4,Researchers develop improved AI language model,True,2026-01-01
True News 5,Space agency successfully launches satellite,True,2026-01-01
True News 6,New railway project inaugurated in Andhra Pradesh,True,2026-01-01
True News 7,University introduces updated engineering curriculum,True,2026-01-01
True News 8,Technology companies invest in cloud computing,True,2026-01-01
True News 9,Environmental groups promote tree plantation drives,True,2026-01-01
True News 10,Medical experts encourage regular health checkups,True,2026-01-01
